"assign_id";"f_id";"sub_id";"b_id";"y_id";"div_id"
"1";"54";"84";"1";"2";"1"
"2";"151";"86";"1";"2";"1"
"3";"149";"88";"1";"2";"1"
"4";"159";"87";"1";"2";"1"
"5";"128";"85";"1";"2";"1"
"6";"54";"84";"1";"2";"2"
"7";"89";"86";"1";"2";"2"
"8";"161";"88";"1";"2";"2"
"9";"187";"87";"1";"2";"2"
"10";"128";"85";"1";"2";"2"
"11";"1";"2";"2";"2";"1"
"12";"150";"111";"1";"4";"1"
"13";"154";"113";"1";"4";"1"
"14";"168";"382";"1";"4";"1"
"15";"126";"383";"1";"4";"1"
"16";"154";"434";"1";"4";"1"
"17";"98";"115";"1";"4";"1"
"18";"60";"384";"1";"4";"1"
"19";"123";"385";"1";"4";"1"
"20";"141";"111";"1";"4";"2"
"21";"132";"113";"1";"4";"2"
"22";"137";"382";"1";"4";"2"
"23";"174";"124";"7";"2";"1"
"24";"91";"128";"7";"2";"1"
"25";"189";"125";"7";"2";"1"
"26";"92";"126";"7";"2";"1"
"27";"106";"355";"7";"3";"1"
"28";"90";"357";"7";"3";"1"
"30";"182";"369";"7";"3";"1"
"32";"90";"357";"7";"3";"2"
"33";"51";"369";"7";"3";"2"
"34";"82";"149";"7";"4";"1"
"35";"97";"148";"7";"4";"1"
"36";"25";"151";"7";"4";"1"
"37";"191";"152";"7";"4";"1"
"38";"174";"40";"3";"2";"1"
"39";"73";"41";"3";"2";"1"
"40";"70";"42";"3";"2";"1"
"41";"119";"43";"3";"2";"1"
"42";"78";"44";"3";"2";"1"
"43";"174";"40";"3";"2";"2"
"44";"73";"41";"3";"2";"2"
"45";"27";"42";"3";"2";"2"
"46";"119";"43";"3";"2";"2"
"47";"78";"44";"3";"2";"2"
"48";"70";"48";"3";"2";"1"
"49";"73";"48";"3";"2";"2"
"50";"156";"115";"1";"4";"2"
"51";"60";"384";"1";"4";"2"
"52";"123";"385";"1";"4";"2"
"53";"126";"383";"1";"4";"2"
"54";"154";"434";"1";"4";"2"
"55";"162";"126";"7";"2";"2"
"56";"114";"52";"3";"3";"1"
"57";"74";"53";"3";"3";"1"
"58";"75";"51";"3";"3";"1"
"59";"129";"97";"1";"3";"1"
"60";"130";"473";"1";"3";"1"
"61";"116";"96";"1";"3";"1"
"62";"127";"99";"1";"3";"1"
"63";"37";"474";"1";"3";"1"
"64";"79";"100";"1";"3";"1"
"65";"182";"106";"1";"3";"1"
"66";"128";"476";"1";"3";"1"
"67";"157";"97";"1";"3";"2"
"68";"188";"473";"1";"3";"2"
"69";"116";"96";"1";"3";"2"
"70";"127";"99";"1";"3";"2"
"71";"37";"474";"1";"3";"2"
"72";"79";"100";"1";"3";"2"
"73";"26";"106";"1";"3";"2"
"74";"128";"476";"1";"3";"2"
"75";"134";"354";"7";"3";"1"
"76";"192";"367";"7";"3";"1"
"77";"91";"354";"7";"3";"2"
"78";"134";"358";"7";"3";"2"
"79";"162";"367";"7";"3";"2"
"80";"162";"153";"7";"4";"1"
"81";"72";"57";"3";"3";"1"
"82";"99";"466";"3";"3";"1"
"84";"110";"65";"3";"3";"1"
"85";"121";"66";"3";"3";"1"
"86";"182";"371";"3";"3";"1"
"87";"99";"470";"3";"3";"1"
"88";"181";"52";"3";"3";"2"
"89";"77";"53";"3";"3";"2"
"90";"104";"56";"3";"3";"2"
"91";"72";"57";"3";"3";"2"
"92";"75";"51";"3";"3";"2"
"93";"110";"65";"3";"3";"2"
"94";"170";"371";"3";"3";"2"
"95";"77";"66";"3";"3";"2"
"96";"122";"467";"3";"3";"2"
"97";"114";"468";"3";"3";"2"
"98";"122";"471";"3";"3";"2"
"99";"114";"472";"3";"3";"2"
"100";"103";"430";"3";"4";"1"
"101";"109";"72";"3";"4";"1"
"102";"123";"74";"3";"4";"1"
"103";"102";"68";"3";"4";"1"
"104";"122";"69";"3";"4";"1"
"106";"121";"71";"3";"4";"1"
"108";"76";"73";"3";"4";"1"
"110";"60";"374";"3";"4";"1"
"111";"103";"430";"3";"4";"2"
"113";"123";"74";"3";"4";"2"
"114";"102";"68";"3";"4";"2"
"115";"122";"69";"3";"4";"2"
"116";"110";"372";"3";"4";"2"
"118";"179";"373";"3";"4";"2"
"119";"76";"73";"3";"4";"2"
"120";"60";"374";"3";"4";"2"
"121";"192";"359";"7";"3";"1"
"122";"192";"359";"7";"3";"2"
"123";"104";"483";"7";"3";"1"
"124";"104";"483";"7";"3";"2"
"125";"194";"127";"7";"2";"1"
"126";"25";"127";"7";"2";"2"
"127";"194";"125";"7";"2";"2"
"128";"193";"479";"7";"4";"1"
"129";"193";"482";"7";"3";"1"
"130";"193";"482";"7";"3";"2"
"131";"175";"355";"7";"3";"2"
"132";"175";"128";"7";"2";"2"
"133";"60";"163";"7";"4";"1"
"134";"123";"162";"7";"4";"1"
"135";"24";"124";"7";"2";"2"
"136";"193";"477";"1";"3";"1"
"137";"193";"477";"1";"3";"2"
