"f_id","COL 2","COL 3","COL 4","COL 5"
"126","388","A","4","A4"
"126","388","B","4","B4"
"127","104","A","3","A1"
"127","104","B","3","B1"
"127","93","B","2","B1"
"127","93","B","2","B4"
"129","102","A","3","A1"
"129","102","A","3","A3"
"129","102","A","3","A4"
"130","103","A","3","A1"
"130","103","A","3","A2"
"130","103","A","3","A3"
"130","103","A","3","A4"
"130","93","A","2","A3"
"130","93","A","2","A4"
"132","122","A","4","A2"
"132","122","B","4","B2"
"132","122","B","4","B3"
"132","93","B","2","B2"
"132","93","B","2","B3"
"137","387","B","4","B1"
"137","387","B","4","B2"
"137","387","B","4","B3"
"137","387","B","4","B4"
"141","120","B","4","B1"
"141","120","B","4","B3"
"141","120","B","4","B4"
"149","120","A","4","A3"
"149","91","A","2","A1"
"149","91","A","2","A2"
"149","91","A","2","A3"
"149","91","A","2","A4"
"149","92","B","2","B1"
"149","92","B","2","B2"
"149","92","B","2","B3"
"149","92","B","2","B4"
"150","120","A","4","A1"
"150","120","A","4","A2"
"150","120","A","4","A4"
"150","120","B","4","B2"
"151","108","B","3","B1"
"151","108","B","3","B2"
"151","108","B","3","B3"
"151","108","B","3","B4"
"151","89","A","2","A1"
"151","89","A","2","A2"
"151","89","A","2","A3"
"151","89","A","2","A4"
"151","92","A","2","A1"
"151","92","A","2","A2"
"151","92","A","2","A3"
"151","92","A","2","A4"
"154","122","A","4","A1"
"154","122","A","4","A3"
"154","122","B","4","B1"
"154","436","B","4","B1"
"154","436","B","4","B2"
"154","436","B","4","B3"
"154","436","B","4","B4"
"157","102","B","3","B1"
"157","102","B","3","B2"
"157","102","B","3","B3"
"157","102","B","3","B4"
"159","90","A","2","A1"
"159","90","A","2","A2"
"159","90","A","2","A3"
"159","90","A","2","A4"
"161","91","B","2","B1"
"161","91","B","2","B2"
"161","91","B","2","B3"
"161","91","B","2","B4"
"168","102","A","3","A2"
"168","387","A","4","A1"
"168","387","A","4","A3"
"168","387","A","4","A4"
"187","90","B","2","B1"
"187","90","B","2","B3"
"187","90","B","2","B4"
"188","103","B","3","B1"
"188","103","B","3","B2"
"188","103","B","3","B3"
"188","103","B","3","B4"
"188","90","B","2","B2"
"188","93","A","2","A1"
"188","93","A","2","A2"
"37","475","A","3","A4"
"37","475","B","3","B4"
"79","105","A","3","A2"
"79","105","A","3","A3"
"79","105","B","3","B2"
"79","105","B","3","B3"
"79","107","A","3","A1"
"79","107","A","3","A2"
"79","107","A","3","A3"
"79","107","A","3","A4"
"79","107","B","3","B1"
"79","107","B","3","B2"
"79","107","B","3","B3"
"79","107","B","3","B4"
"89","387","A","4","A2"
"89","89","B","2","B1"
"89","89","B","2","B2"
"89","89","B","2","B3"
"89","89","B","2","B4"
"98","108","A","3","A1"
"98","108","A","3","A2"
"98","108","A","3","A3"
"98","108","A","3","A4"
"98","364","A","3","A1"
"98","364","A","3","A2"
"98","364","A","3","A3"
"98","364","A","3","A4"
"98","364","B","3","B5"
"98","436","A","4","A1"
"98","436","A","4","A2"
"98","436","A","4","A3"
"98","436","A","4","A4"
