"sub_id";"sub_code";"subject_name";"subject_fullname";"sem_id";"b_id";"f_id";"sub_type";"elective_of";"prerequisite";"prerequisite_marks";"marks";"submission";"termwork";"termwork_marks";"practical";"practical_marks";"endsem";"endsem_marks";"img"
"1";"ITC301";"AM-III";"Applications of Mathematics in Engineering - I";"3";"2";"43";"1";"1";"0";"0";"1";"0";"1";"25";"0";"0";"1";"60";"common.png"
"2";"ITC302";"DSA";"Data Strucutres and Analysis";"3";"2";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"3";"ITC303";"DBMS";"Database Management Systems";"3";"2";"28";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"4";"ITC304";"COA";"Computer Organization and Organization";"3";"2";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"5";"ITC305";"SE";"Software Engineering";"3";"2";"1";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"45";"common.png"
"6";"1UITL302";"DSL";"Data Strucutres Lab";"3";"2";"16";"0";"1";"0";"0";"0";"0";"1";"25";"1";"25";"0";"0";"common.png"
"7";"1UITL303";"SQL";"SQL Lab";"3";"2";"32";"0";"1";"0";"0";"0";"0";"1";"25";"1";"25";"0";"0";"common.png"
"8";"ITL304";"MP LAB";"Microprocessor & Microcontroller Lab";"3";"2";"1";"0";"1";"0";"0";"0";"0";"1";"25";"0";"0";"0";"0";"common.png"
"9";"1UITPR31";"PBL + SBL";"Project Based Learning: Mini Project - I (Java Based Mini Project)";"3";"2";"1";"0";"1";"0";"0";"0";"0";"1";"25";"1";"25";"0";"0";"common.png"
"10";"1UIXX33";"SBL-JAVA";"Skill Based Learning (Java Programming)";"3";"2";"20";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"common.png"
"11";"1UITXA34";"ABL";"Activity Based Learning (Theme: Engineer and Society)";"3";"11";"15";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"common.png"
"12";"1UITC501";"IP";"Internet Programming";"5";"2";"20";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"13";"1UITC502";"CNS";"Computer Network Security ";"5";"2";"9";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"14";"1UITC503";"EEB";"Entrepreneurship and E Business";"5";"2";"1";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"16";"ITDLC5051";"ADMSIR";"Advance Database Management System and Information Retrieval";"5";"2";"32";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"17";"ITDLC5054";"ADSAPA";"Advance Data Structures and Algorithmic Performance Analysis";"5";"2";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"18";"1UITC506";"BCE";"Business Communication and Ethics";"5";"2";"1";"1";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"19";"1UITL501";"IPL";"Internet Programming Lab";"5";"2";"1";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"20";"1UITL502";"SL";"Security Lab";"5";"2";"9";"0";"1";"0";"0";"0";"1";"1";"25";"0";"0";"0";"0";"common.png"
"21";"ITL504";"IoT Lab";"IoT Lab";"5";"2";"1";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"22";"1UITLDLL5051";"ADIRL";"Advance Databases and Information Retrieval Lab";"5";"2";"32";"0";"3";"0";"0";"0";"1";"1";"25";"0";"0";"0";"0";"common.png"
"23";"ITDLL5054";"AAL";"Algorithmic Analysis Lab";"5";"2";"1";"0";"3";"0";"0";"0";"1";"1";"25";"0";"0";"0";"0";"common.png"
"24";"1UITPR53";"PBL + TBL";"Project Based Learning: Minor Project - I (WAD with CI/CD Minor project)";"5";"2";"1";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"25";"1UITXS57";"SBL";"Skill Based Learning (Aptitude or logic Buiding and Competitive Programming)";"5";"2";"9";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"common.png"
"26";"ITL506L";"BCE Lab";"BCE Lab";"5";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"common.png"
"27";"1UITC701";"AI & DS II";"Artificial Intellignece & Data Science II";"7";"2";"16";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"28";"1UITC702";"IoE";"Internet of Enverything";"7";"2";"15";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"29";"ITDLC7031";"RL";"Reinforcement Learning";"9";"2";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"30";"ITDLC7034";"STQA";"Software Testing and Quality Analysis";"7";"2";"14";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"31";"ITDLC7041";"MLDL";"Machine Learning and Deep Learning";"7";"2";"11";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"32";"ITDLC7044";"UIUX";"UIUX";"7";"2";"32";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"33";"1UILC7053";"MIS";"Management Information System";"7";"2";"1";"1";"4";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"34";"1UILC7055";"PLC";"Product Lifecycle Management ";"9";"2";"1";"1";"4";"0";"0";"1";"0";"0";"0";"0";"0";"1";"60";"common.png"
"35";"1UITL701";"AI & DS II Lab";"Artificial Intelligence & Data Science II Lab";"7";"2";"16";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"36";"1UITL702";"IoEL";"Internet of Everything Lab";"7";"2";"15";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"37";"ITLDLL7041";"ML & DL LAB";"Machine Learning and Deep Learning Lab";"7";"2";"11";"0";"5";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"38";"ITLDLL7044";"UI Lab";"UI Lab";"7";"2";"32";"0";"5";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";"common.png"
"39";"1UITPR75";"PBL";"Project Based Learning - Major Project A";"7";"2";"1";"0";"1";"0";"0";"0";"1";"1";"25";"1";"50";"0";"0";"common.png"
"40";"1UEXC301";"AME-I";"Applications of Mathematics in Engineering-I";"3";"3";"55";"1";"1";"1";"10";"1";"1";"1";"25";"0";"0";"1";"60";" common.png"
"41";"1UEXC302";"DLD";"Digital Logic Design ";"3";"3";"103";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"42";"1UEXC303";"EDLC";"Electronic Devices & Linear Circuits";"3";"3";"70";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"43";"1UEXC304";"EICS";"Electronic Instrumentation and Control System ";"3";"3";"104";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"44";"1UEXC305";"ENT";"Electrical Network Theory";"3";"3";"73";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"45";" common.png"
"45";"1UEXL302";"DLDL";"Digital Logic Design Laboratory";"3";"3";"103";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";" common.png"
"46";"1UEXL303";"EDLCL";"Electronic Devices & Linear Circuits Laboratory";"3";"3";"70";"0";"1";"0";"0";"0";"1";"1";"25";"1";"25";"0";"0";" common.png"
"47";"1UEXL304";"EICSL";"Electronic Instrumentation and Control System Laboratory";"3";"3";"104";"0";"1";"0";"0";"0";"1";"1";"25";"0";"0";"0";"0";" common.png"
"48";"1UEXPR31";"PBL-I";"Project Based Learning- Mini Project Lab-I";"3";"3";"76";"1";"1";"1";"10";"0";"1";"1";"25";"1";"25";"0";"0";" common.png"
"49";"1UEXXS33";"SBL-III";"Skill Based Learning-III";"3";"3";"119";"0";"1";"1";"20";"0";"0";"0";"0";"0";"0";"0";"0";" common.png"
"50";"1UEXXA34";"PBL-I + SBL-IV";"Project Based Learning- Mini Project Lab-I + Skill Based Learning-IV	";"3";"3";"104";"0";"1";"1";"20";"0";"0";"0";"0";"0";"0";"0";"0";" common.png"
"51";"EXC503";"CCN";"Computer Communication Networks";"5";"3";"75";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"52";"1UEXC502";"DVD";"Digital VLSI Design";"5";"3";"114";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"53";"1UEXC503";"DTSP";"Discrete Time Signal Processing";"5";"3";"77";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
"54";"1UEXC504";"RSA";"Random Signal Analysis";"5";"3";"78";"1";"1";"1";"10";"1";"0";"0";"0";"0";"0";"1";"60";" common.png"
