subject_name,sub_id,sub_type,year,sem_id,b_id,f_id,,,,,,,,,,,,,
AM-III,1,1,,3,2,43,,,,,,,,,,,,,
DSA,2,1,,3,2,1,,,,,,,,,,,,,
DBMS,3,1,,3,2,28,,,,,,,,,,,,,
COA,4,1,,3,2,1,,,,,,,,,,,,,
SE,5,1,,3,2,1,,,,,,,,,,,,,
DSL,6,0,,3,2,16,,,,,,,,,,,,,
SQL,7,0,,3,2,32,,,,,,,,,,,,,
MP LAB,8,0,,3,2,1,,,,,,,,,,,,,
PBL + SBL,9,0,,3,2,1,,,,,,,,,,,,,
SBL-JAVA,10,0,,3,2,20,,,,,,,,,,,,,
ABL,11,0,,3,11,15,,,,,,,,,,,,,
IP,12,1,,5,2,20,,,,,,,,,,,,,
CNS,13,1,,5,2,9,,,,,,,,,,,,,
EEB,14,1,,5,2,1,,,,,,,,,,,,,
ADMSIR,16,1,,5,2,32,,,,,,,,,,,,,
ADSAPA,17,1,,5,2,1,,,,,,,,,,,,,
BCE,18,1,,5,2,1,,,,,,,,,,,,,
IPL,19,0,,5,2,1,,,,,,,,,,,,,
SL,20,0,,5,2,9,,,,,,,,,,,,,
IoT Lab,21,0,,5,2,1,,,,,,,,,,,,,
ADIRL,22,0,,5,2,32,,,,,,,,,,,,,
AAL,23,0,,5,2,1,,,,,,,,,,,,,
PBL + TBL,24,0,,5,2,1,,,,,,,,,,,,,
SBL,25,1,,5,2,9,,,,,,,,,,,,,
BCE Lab,26,0,,5,2,1,,,,,,,,,,,,,
AI & DS II,27,1,,7,2,16,,,,,,,,,,,,,
IoE,28,1,,7,2,15,,,,,,,,,,,,,
RL,29,1,,9,2,1,,,,,,,,,,,,,
STQA,30,1,,7,2,14,,,,,,,,,,,,,
MLDL,31,1,,7,2,11,,,,,,,,,,,,,
UIUX,32,1,,7,2,32,,,,,,,,,,,,,
MIS,33,1,,7,2,1,,,,,,,,,,,,,
PLC,34,1,,9,2,1,,,,,,,,,,,,,
AI & DS II Lab,35,0,,7,2,16,,,,,,,,,,,,,
IoEL,36,0,,7,2,15,,,,,,,,,,,,,
ML & DL LAB,37,0,,7,2,11,,,,,,,,,,,,,
UI Lab,38,0,,7,2,32,,,,,,,,,,,,,
PBL,39,0,,7,2,1,,,,,,,,,,,,,
AME-I,40,1,,3,3,55,,,,,,,,,,,,,
DLD,41,1,,3,3,103,,,,,,,,,,,,,
EDLC,42,1,,3,3,70,,,,,,,,,,,,,
EICS,43,1,,3,3,104,,,,,,,,,,,,,
ENT,44,1,,3,3,73,,,,,,,,,,,,,
DLDL,45,0,,3,3,103,,,,,,,,,,,,,
EDLCL,46,0,,3,3,70,,,,,,,,,,,,,
EICSL,47,0,,3,3,104,,,,,,,,,,,,,
PBL-I,48,1,,3,3,76,,,,,,,,,,,,,
SBL-III,49,0,,3,3,119,,,,,,,,,,,,,
PBL-I + SBL-IV,50,0,,3,3,104,,,,,,,,,,,,,
CCN,51,1,,5,3,75,,,,,,,,,,,,,
DVD,52,1,,5,3,114,,,,,,,,,,,,,
DTSP,53,1,,5,3,77,,,,,,,,,,,,,
RSA,54,1,,5,3,78,,,,,,,,,,,,,
DCE,55,1,,5,3,99,,,,,,,,,,,,,
ST,56,1,,5,3,110,,,,,,,,,,,,,
DSA,57,1,,5,3,72,,,,,,,,,,,,,
DCOML,58,0,,11,3,75,,,,,,,,,,,,,
DVDL,59,0,,5,3,114,,,,,,,,,,,,,
